t,M,P,model,gene
76.0,3.183157423328206,350.069477604043,Repressilator,Gene 2
77.0,3.914474627864714,447.2656104670211,Repressilator,Gene 2
78.0,4.702825252404915,562.8231670937134,Repressilator,Gene 2
79.0,5.51586792829072,695.899024993076,Repressilator,Gene 2
80.0,6.31816589336193,844.2514677595792,Repressilator,Gene 2
81.0,7.076495445868313,1004.4153667202431,Repressilator,Gene 2
82.0,7.763753222257608,1172.072684680959,Repressilator,Gene 2
83.0,8.360489187046989,1342.503603214104,Repressilator,Gene 2
84.0,8.85404405658954,1510.9946480019587,Repressilator,Gene 2
85.0,9.235811647123212,1673.1107699240356,Repressilator,Gene 2
86.0,9.497209651620052,1824.780146698114,Repressilator,Gene 2
87.0,9.624873289706102,1962.173864968875,Repressilator,Gene 2
88.0,9.596011308243758,2081.3908155527793,Repressilator,Gene 2
89.0,9.37658351342204,2178.014174835063,Repressilator,Gene 2
90.0,8.92795430155415,2246.7464965093054,Repressilator,Gene 2
91.0,8.227835966908636,2281.5610088922735,Repressilator,Gene 2
92.0,7.299666448133689,2276.880533215385,Repressilator,Gene 2
93.0,6.224865519967425,2229.7123634557715,Repressilator,Gene 2
94.0,5.117723833195749,2141.553373177387,Repressilator,Gene 2
95.0,4.081217281017068,2018.6283062825603,Repressilator,Gene 2
96.0,3.1789883548495403,1870.3140750230514,Repressilator,Gene 2
97.0,2.4339613181296076,1706.8869312329175,Repressilator,Gene 2
98.0,1.8411194464511984,1537.7207880170806,Repressilator,Gene 2
99.0,1.3813507582531945,1370.3374316969644,Repressilator,Gene 2
100.0,1.0310733984850442,1210.16901624437,Repressilator,Gene 2
101.0,0.7674817891561261,1060.739015308336,Repressilator,Gene 2
102.0,0.5708094873516341,924.0195053224887,Repressilator,Gene 2
103.0,0.4249279743152755,800.8182990349521,Repressilator,Gene 2
104.0,0.3171517074119276,691.1250660443919,Repressilator,Gene 2
105.0,0.23773713797835797,594.3914321728204,Repressilator,Gene 2
106.0,0.1793195671834894,509.7436033156121,Repressilator,Gene 2
107.0,0.13639530456919055,436.1362039615858,Repressilator,Gene 2
108.0,0.1048868865015271,372.4589909582369,Repressilator,Gene 2
109.0,0.08179626212172621,317.607737534848,Repressilator,Gene 2
110.0,0.06493697393437534,270.5289016271853,Repressilator,Gene 2
111.0,0.05273165857283726,230.24571279318508,Repressilator,Gene 2
112.0,0.044060652957062026,195.87148787870177,Repressilator,Gene 2
113.0,0.0381494908045764,166.6144660971469,Repressilator,Gene 2
114.0,0.034486885110602855,141.77725221602608,Repressilator,Gene 2
115.0,0.03276851572155461,120.75303783328549,Repressilator,Gene 2
116.0,0.0328636902728601,103.0201599574257,Repressilator,Gene 2
117.0,0.03480221599159492,88.1361992294416,Repressilator,Gene 2
118.0,0.03877942032195174,75.73257697911183,Repressilator,Gene 2
119.0,0.04517881072513503,65.51041754919383,Repressilator,Gene 2
120.0,0.054613868731045415,57.23831431250855,Repressilator,Gene 2
121.0,0.06799246332385722,50.752608436230275,Repressilator,Gene 2
122.0,0.0866091816165733,45.960861398729044,Repressilator,Gene 2
123.0,0.11227231290300822,42.849345791390164,Repressilator,Gene 2
124.0,0.1474728190742835,41.49556695306673,Repressilator,Gene 2
125.0,0.19560129719978164,42.08700823043201,Repressilator,Gene 2
126.0,0.26121349984535225,44.947361460621394,Repressilator,Gene 2
127.0,0.3503318983863434,50.57129154231266,Repressilator,Gene 2
128.0,0.47074472004163215,59.667954906146655,Repressilator,Gene 2
129.0,0.6322188059364056,73.21145419297828,Repressilator,Gene 2
130.0,0.8464761070040672,92.49219744360568,Repressilator,Gene 2
131.0,1.126706194215937,119.15542776095035,Repressilator,Gene 2
132.0,1.4863393577648354,155.20186144067438,Repressilator,Gene 2
133.0,1.9368698149967873,202.91488307583134,Repressilator,Gene 2
134.0,2.4848013883261544,264.6794097899447,Repressilator,Gene 2
135.0,3.128316832323725,342.67885066333736,Repressilator,Gene 2
136.0,3.854840598292127,438.49887413768386,Repressilator,Gene 2
137.0,4.6408093810619375,552.718670854162,Repressilator,Gene 2
138.0,5.45429550662051,684.6065135404458,Repressilator,Gene 2
139.0,6.259850322983841,832.0258107295181,Repressilator,Gene 2
140.0,7.0238730912842975,991.5924103721954,Repressilator,Gene 2
141.0,7.718691109081675,1159.0349636052667,Repressilator,Gene 2
142.0,8.324299246552119,1329.6462060900153,Repressilator,Gene 2
143.0,8.827677386469214,1498.7002105637728,Repressilator,Gene 2
144.0,9.220188416513032,1661.7393930122548,Repressilator,Gene 2
145.0,9.4936478085806,1814.677123389027,Repressilator,Gene 2
146.0,9.635565507893855,1953.6959827801134,Repressilator,Gene 2
147.0,9.624389781787063,2074.9487017216575,Repressilator,Gene 2
148.0,9.427131867496309,2174.1185731050273,Repressilator,Gene 2
149.0,9.004715790632186,2246.024827670805,Repressilator,Gene 2
150.0,8.331319306794962,2284.6857261480695,Repressilator,Gene 2
0.0,1.0e-6,1000.0,Repressilator,Gene 3
1.0,1.7227764270724824,869.5157065441782,Repressilator,Gene 3
2.0,2.2808738684523857,818.2218876748765,Repressilator,Gene 3
3.0,2.048326256730215,788.5105579029663,Repressilator,Gene 3
4.0,1.633197610522592,750.2476493575076,Repressilator,Gene 3
5.0,1.2478154316317465,699.5838112023309,Repressilator,Gene 3
6.0,0.9366845628114235,640.4906277635579,Repressilator,Gene 3
7.0,0.6979037344895417,577.676757223275,Repressilator,Gene 3
8.0,0.5188309401475579,514.8566748125078,Repressilator,Gene 3
9.0,0.3861524655691412,454.56295851039715,Repressilator,Gene 3
10.0,0.28854101324979264,398.34377500224855,Repressilator,Gene 3
11.0,0.2170652586163888,347.0176075944174,Repressilator,Gene 3
12.0,0.1649341965723039,300.89590697389343,Repressilator,Gene 3
13.0,0.12709226804863305,259.9559937588036,Repressilator,Gene 3
14.0,0.0998327965767156,223.96793558918853,Repressilator,Gene 3
15.0,0.08047670697672783,192.58441519468548,Repressilator,Gene 3
16.0,0.06712181428430769,165.40266166786046,Repressilator,Gene 3
17.0,0.058455403093761335,142.00603181299982,Repressilator,Gene 3
18.0,0.053620548997961065,121.99116823502914,Repressilator,Gene 3
19.0,0.05212742163434661,104.98527960322555,Repressilator,Gene 3
20.0,0.05380244524833655,90.65704542383556,Repressilator,Gene 3
21.0,0.058770350174710925,78.72384470271666,Repressilator,Gene 3
22.0,0.06746674047827099,68.95739165811827,Repressilator,Gene 3
23.0,0.08068149635589802,61.189436217208545,Repressilator,Gene 3
24.0,0.09963578833909983,55.318944254559845,Repressilator,Gene 3
25.0,0.12609742875932942,51.322088389987385,Repressilator,Gene 3
26.0,0.16254017263813747,49.26639962484688,Repressilator,Gene 3
27.0,0.21235127464219192,49.33047757273744,Repressilator,Gene 3
28.0,0.28008608730302387,51.83062620848918,Repressilator,Gene 3
29.0,0.3717551629119953,57.255466148506144,Repressilator,Gene 3
30.0,0.4951031750415154,66.30863270139349,Repressilator,Gene 3
31.0,0.6597946062657637,79.95751271917419,Repressilator,Gene 3
32.0,0.8773567014457135,99.48162270572497,Repressilator,Gene 3
33.0,1.1606577301631813,126.50660177530835,Repressilator,Gene 3
34.0,1.522658748964794,162.9991023402267,Repressilator,Gene 3
35.0,1.974250515616174,211.1886456108132,Repressilator,Gene 3
36.0,2.5212711448786322,273.3842648613776,Repressilator,Gene 3
37.0,3.16131063488618,351.6748282766319,Repressilator,Gene 3
38.0,3.881437347051589,447.54277594251533,Repressilator,Gene 3
39.0,4.65808573702774,561.470523421194,Repressilator,Gene 3
40.0,5.459676320925132,692.6519681543435,Repressilator,Gene 3
41.0,6.251315717707833,838.9091938875335,Repressilator,Gene 3
42.0,6.999933859508203,996.8503360779051,Repressilator,Gene 3
43.0,7.678122550849575,1162.219489647892,Repressilator,Gene 3
44.0,8.26566956639399,1330.3289054834531,Repressilator,Gene 3
45.0,8.74869790156535,1496.451820483934,Repressilator,Gene 3
46.0,9.116874921540742,1656.0813787922755,Repressilator,Gene 3
47.0,9.35928281156437,1805.0013643288487,Repressilator,Gene 3
48.0,9.459615138742429,1939.150231325383,Repressilator,Gene 3
49.0,9.392074606043787,2054.2980059504434,Repressilator,Gene 3
50.0,9.121407481826987,2145.633781463166,Repressilator,Gene 3
51.0,8.613112399102206,2207.529646581211,Repressilator,Gene 3
52.0,7.857346952959233,2233.9580351282166,Repressilator,Gene 3
53.0,6.895036763415878,2219.9609999910535,Repressilator,Gene 3
54.0,5.81946240205999,2163.790555682013,Repressilator,Gene 3
55.0,4.743327974492897,2068.3655187489876,Repressilator,Gene 3
56.0,3.7578810884642064,1940.9196888657937,Repressilator,Gene 3
57.0,2.913513071406993,1791.143768099309,Repressilator,Gene 3
58.0,2.2237583914414905,1629.0353449122795,Repressilator,Gene 3
59.0,1.6788615499905706,1463.3668873885201,Repressilator,Gene 3
60.0,1.2582995875429175,1300.9762811375745,Repressilator,Gene 3
61.0,0.9388978034765282,1146.6737708781209,Repressilator,Gene 3
62.0,0.6990256846501112,1003.483929179632,Repressilator,Gene 3
63.0,0.5202741731539979,873.0126760028762,Repressilator,Gene 3
64.0,0.3877792264933749,755.819427822643,Repressilator,Gene 3
65.0,0.2899249006908979,651.7397094571998,Repressilator,Gene 3
66.0,0.21782595905623586,560.1414945627546,Repressilator,Gene 3
67.0,0.16478499461875945,480.11734391334795,Repressilator,Gene 3
68.0,0.12580697694558504,410.62198810678024,Repressilator,Gene 3
69.0,0.09719760961259045,350.5668274394292,Repressilator,Gene 3
70.0,0.07624577608676672,298.88200487280346,Repressilator,Gene 3
71.0,0.06097971943020792,254.55493826179017,Repressilator,Gene 3
72.0,0.04998319688989472,216.6522869487319,Repressilator,Gene 3
73.0,0.04225809563273596,184.33061967637258,Repressilator,Gene 3
74.0,0.03712265878928614,156.83965396658425,Repressilator,Gene 3
75.0,0.03413844325256346,133.5208279949031,Repressilator,Gene 3
76.0,0.03306221102719259,113.80315537287689,Repressilator,Gene 3
77.0,0.03381993682500752,97.19780059592762,Repressilator,Gene 3
78.0,0.03650034605343033,83.29250531703906,Repressilator,Gene 3
79.0,0.04136639610877091,71.7467712489158,Repressilator,Gene 3
80.0,0.048884916199286164,62.2885243075029,Repressilator,Gene 3
81.0,0.05977666678941237,54.71288957418257,Repressilator,Gene 3
82.0,0.07509102992415331,48.883716410253236,Repressilator,Gene 3
83.0,0.09631123194936313,44.73859059245644,Repressilator,Gene 3
84.0,0.12549719630846895,42.29823632270777,Repressilator,Gene 3
85.0,0.16547312977308057,41.68140182947807,Repressilator,Gene 3
86.0,0.2200642653704641,43.12646861777745,Repressilator,Gene 3
87.0,0.2943792260115387,47.02101083565438,Repressilator,Gene 3
88.0,0.3951168630149797,53.94011647663929,Repressilator,Gene 3
89.0,0.5308433750598703,64.69305294447595,Repressilator,Gene 3
90.0,0.712131747077232,80.37509480165687,Repressilator,Gene 3
91.0,0.9513820851283363,102.41584903666303,Repressilator,Gene 3
92.0,1.262069006353783,132.60611562968188,Repressilator,Gene 3
93.0,1.6571476410561334,173.07344340945446,Repressilator,Gene 3
94.0,2.1464910247286038,226.16913715341778,Repressilator,Gene 3
95.0,2.7336197010682444,294.237737751321,Repressilator,Gene 3
96.0,3.4125703524968416,379.2702864587854,Repressilator,Gene 3
97.0,4.166210725027298,482.49094632339677,Repressilator,Gene 3
98.0,4.967147441977725,603.9758792882827,Repressilator,Gene 3
99.0,5.781392081567013,742.4237152551314,Repressilator,Gene 3
100.0,6.573646368009334,895.1629850337612,Repressilator,Gene 3
101.0,7.312335511327951,1058.401414683842,Repressilator,Gene 3
102.0,7.972809197778574,1227.6379094481852,Repressilator,Gene 3
103.0,8.538066658839535,1398.1136543355235,Repressilator,Gene 3
104.0,8.997222898821402,1565.1855152874377,Repressilator,Gene 3
105.0,9.34230234139106,1724.5424184450205,Repressilator,Gene 3
106.0,9.563908774164886,1872.2257951399088,Repressilator,Gene 3
107.0,9.646317588764784,2004.4449382068358,Repressilator,Gene 3
108.0,9.563269945817174,2117.209257200531,Repressilator,Gene 3
109.0,9.27796431566867,2205.8744667927363,Repressilator,Gene 3
110.0,8.753635509473705,2264.87399095083,Repressilator,Gene 3
111.0,7.978660056715515,2288.134531486446,Repressilator,Gene 3
112.0,6.994184060581385,2270.6019620725183,Repressilator,Gene 3
113.0,5.8958657598789985,2210.4818245494,Repressilator,Gene 3
114.0,4.799260002837322,2110.764221757054,Repressilator,Gene 3
115.0,3.7972859595357304,1978.85431153529,Repressilator,Gene 3
116.0,2.9405652655575922,1824.6439655314723,Repressilator,Gene 3
117.0,2.2420238987700847,1658.3014920385103,Repressilator,Gene 3
118.0,1.6910598280669586,1488.7145691892626,Repressilator,Gene 3
119.0,1.266379035214332,1322.7822424126998,Repressilator,Gene 3
120.0,0.9442074871028637,1165.334390217249,Repressilator,Gene 3
121.0,0.7024827541904594,1019.3875319223135,Repressilator,Gene 3
122.0,0.5224962377465254,886.523136524311,Repressilator,Gene 3
123.0,0.38918011335995334,767.26780481679,Repressilator,Gene 3
124.0,0.29078103740626715,661.4211399546687,Repressilator,Gene 3
125.0,0.2183214219358322,568.3153061755875,Repressilator,Gene 3
126.0,0.16504174610095296,487.00899557440675,Repressilator,Gene 3
127.0,0.12590502028409914,416.4259379852097,Repressilator,Gene 3
128.0,0.09718832740111712,355.4497654918289,Repressilator,Gene 3
129.0,0.07616066770546862,302.9861131135664,Repressilator,Gene 3
130.0,0.06083605869281475,258.00098752116975,Repressilator,Gene 3
131.0,0.04978768001780658,219.54247033352456,Repressilator,Gene 3
132.0,0.042009193771760295,186.75107803222946,Repressilator,Gene 3
133.0,0.036812017450783434,158.86268200978256,Repressilator,Gene 3
134.0,0.033751352162729405,135.2067698521708,Repressilator,Gene 3
135.0,0.03257705079326765,115.202004375171,Repressilator,Gene 3
136.0,0.03320654406712177,98.35051159303949,Repressilator,Gene 3
137.0,0.03571724333429202,84.23201771144231,Repressilator,Gene 3
138.0,0.040356735952110506,72.4987336203884,Repressilator,Gene 3
139.0,0.0475708326533267,62.87170409002929,Repressilator,Gene 3
140.0,0.05805155894565234,55.13923919197818,Repressilator,Gene 3
141.0,0.07280913941201915,49.15804951019443,Repressilator,Gene 3
142.0,0.09327374030041069,44.85779931538945,Repressilator,Gene 3
143.0,0.1214340057799799,42.249955093535974,Repressilator,Gene 3
144.0,0.1600196154890331,41.441999675150754,Repressilator,Gene 3
145.0,0.21273281131023689,42.658239516681505,Repressilator,Gene 3
146.0,0.28452664977162634,46.268447627909055,Repressilator,Gene 3
147.0,0.381911453026098,52.8252316910281,Repressilator,Gene 3
148.0,0.513239871396358,63.10990777271851,Repressilator,Gene 3
149.0,0.6888695977862654,78.18411680073342,Repressilator,Gene 3
150.0,0.9210308700728538,99.43930413778418,Repressilator,Gene 3
